朴素贝叶斯概率,字母数字串5,非中文字符比例,数字个数,字母个数,评论长度,标签
0.01,0,0.18181818181818182,0.0,0.0,2.4849066497880004,0
0.01,0,0.17692307692307693,1.6094379124341003,0.0,4.875197323201151,0
0.01,0,0.058823529411764705,0.0,0.0,2.8903717578961645,0
0.044951523903414156,0,0.16666666666666666,0.0,0.0,2.5649493574615367,0
0.01,0,0.14285714285714285,0.0,0.0,2.0794415416798357,0
0.01,0,0.18181818181818182,1.6094379124341003,0.0,4.02535169073515,0
0.01,0,0.125,0.0,0.0,2.833213344056216,0
0.01,0,0.03333333333333333,0.0,0.0,3.4339872044851463,0
0.01,0,0.0,0.0,0.0,2.8903717578961645,0
0.01,0,0.0,0.0,0.0,2.0794415416798357,0
0.01,0,0.16,1.0986122886681098,0.0,3.258096538021482,0
0.01,0,0.16666666666666666,0.0,0.0,1.9459101490553132,0
0.09117725085137003,0,0.0,0.0,0.0,1.0986122886681098,0
0.01,0,0.1282051282051282,0.0,0.0,4.770684624465665,0
0.01,0,0.0,0.0,0.0,2.5649493574615367,0
0.01,0,0.1111111111111111,0.0,0.0,2.302585092994046,0
0.01,0,0.10256410256410256,0.0,0.0,3.6888794541139363,0
0.01,0,0.05263157894736842,0.0,0.0,2.995732273553991,0
0.044208908382591804,1,0.6153846153846154,2.1972245773362196,2.0794415416798357,3.295836866004329,1
0.01,0,0.15384615384615385,0.0,0.0,2.6390573296152584,0
0.1330123281504198,0,0.08333333333333333,0.0,0.0,2.5649493574615367,0
0.99,1,0.6,1.3862943611198906,2.1972245773362196,3.258096538021482,1
0.01,0,0.26666666666666666,0.0,0.0,2.772588722239781,0
0.4183051530522121,0,0.15789473684210525,1.6094379124341003,0.0,2.995732273553991,0
0.016079931099111103,0,0.0,0.6931471805599453,0.0,2.302585092994046,0
0.01,0,0.0,0.0,0.0,2.1972245773362196,0
0.01,0,0.0967741935483871,0.6931471805599453,0.0,3.4657359027997265,0
0.01,0,0.045454545454545456,0.0,0.0,3.1354942159291497,0
